timestamp,temp_t-1,humidity_t-1,wind_speed_t-1,pressure_t-1,temp_t-2,humidity_t-2,wind_speed_t-2,pressure_t-2,temp_t-3,humidity_t-3,wind_speed_t-3,pressure_t-3,temp_t-4,humidity_t-4,wind_speed_t-4,pressure_t-4,temp_t-5,humidity_t-5,wind_speed_t-5,pressure_t-5,temp_t-6,humidity_t-6,wind_speed_t-6,pressure_t-6,hour,day_of_week,target_temp_t+1
2024-09-01 06:00:00,24.5,98.0,4.0,1000.8,24.7,97.0,5.2,1000.7,24.8,96.0,5.4,1000.8,25.0,93.0,6.3,1000.6,25.5,90.0,5.9,1001.1,25.4,91.0,6.6,1001.5,6,6,26.0
2024-09-01 07:00:00,25.0,97.0,3.4,1000.8,24.5,98.0,4.0,1000.8,24.7,97.0,5.2,1000.7,24.8,96.0,5.4,1000.8,25.0,93.0,6.3,1000.6,25.5,90.0,5.9,1001.1,7,6,27.5
2024-09-01 08:00:00,26.0,94.0,5.4,1001.3,25.0,97.0,3.4,1000.8,24.5,98.0,4.0,1000.8,24.7,97.0,5.2,1000.7,24.8,96.0,5.4,1000.8,25.0,93.0,6.3,1000.6,8,6,29.0
2024-09-01 09:00:00,27.5,87.0,8.0,1001.8,26.0,94.0,5.4,1001.3,25.0,97.0,3.4,1000.8,24.5,98.0,4.0,1000.8,24.7,97.0,5.2,1000.7,24.8,96.0,5.4,1000.8,9,6,30.1
2024-09-01 10:00:00,29.0,79.0,10.0,1002.2,27.5,87.0,8.0,1001.8,26.0,94.0,5.4,1001.3,25.0,97.0,3.4,1000.8,24.5,98.0,4.0,1000.8,24.7,97.0,5.2,1000.7,10,6,31.0
2024-09-01 11:00:00,30.1,71.0,8.8,1002.3,29.0,79.0,10.0,1002.2,27.5,87.0,8.0,1001.8,26.0,94.0,5.4,1001.3,25.0,97.0,3.4,1000.8,24.5,98.0,4.0,1000.8,11,6,31.4
2024-09-01 12:00:00,31.0,67.0,8.3,1001.9,30.1,71.0,8.8,1002.3,29.0,79.0,10.0,1002.2,27.5,87.0,8.0,1001.8,26.0,94.0,5.4,1001.3,25.0,97.0,3.4,1000.8,12,6,31.8
2024-09-01 13:00:00,31.4,64.0,7.7,1001.0,31.0,67.0,8.3,1001.9,30.1,71.0,8.8,1002.3,29.0,79.0,10.0,1002.2,27.5,87.0,8.0,1001.8,26.0,94.0,5.4,1001.3,13,6,32.2
2024-09-01 14:00:00,31.8,62.0,9.3,999.7,31.4,64.0,7.7,1001.0,31.0,67.0,8.3,1001.9,30.1,71.0,8.8,1002.3,29.0,79.0,10.0,1002.2,27.5,87.0,8.0,1001.8,14,6,32.0
2024-09-01 15:00:00,32.2,60.0,11.2,998.4,31.8,62.0,9.3,999.7,31.4,64.0,7.7,1001.0,31.0,67.0,8.3,1001.9,30.1,71.0,8.8,1002.3,29.0,79.0,10.0,1002.2,15,6,31.4
2024-09-01 16:00:00,32.0,61.0,12.2,998.0,32.2,60.0,11.2,998.4,31.8,62.0,9.3,999.7,31.4,64.0,7.7,1001.0,31.0,67.0,8.3,1001.9,30.1,71.0,8.8,1002.3,16,6,30.8
2024-09-01 17:00:00,31.4,64.0,11.2,997.9,32.0,61.0,12.2,998.0,32.2,60.0,11.2,998.4,31.8,62.0,9.3,999.7,31.4,64.0,7.7,1001.0,31.0,67.0,8.3,1001.9,17,6,29.9
2024-09-01 18:00:00,30.8,68.0,10.5,998.1,31.4,64.0,11.2,997.9,32.0,61.0,12.2,998.0,32.2,60.0,11.2,998.4,31.8,62.0,9.3,999.7,31.4,64.0,7.7,1001.0,18,6,28.8
2024-09-01 19:00:00,29.9,73.0,6.6,999.0,30.8,68.0,10.5,998.1,31.4,64.0,11.2,997.9,32.0,61.0,12.2,998.0,32.2,60.0,11.2,998.4,31.8,62.0,9.3,999.7,19,6,28.5
2024-09-01 20:00:00,28.8,76.0,6.0,999.5,29.9,73.0,6.6,999.0,30.8,68.0,10.5,998.1,31.4,64.0,11.2,997.9,32.0,61.0,12.2,998.0,32.2,60.0,11.2,998.4,20,6,28.1
2024-09-01 21:00:00,28.5,76.0,7.1,999.7,28.8,76.0,6.0,999.5,29.9,73.0,6.6,999.0,30.8,68.0,10.5,998.1,31.4,64.0,11.2,997.9,32.0,61.0,12.2,998.0,21,6,28.0
2024-09-01 22:00:00,28.1,78.0,7.4,1000.5,28.5,76.0,7.1,999.7,28.8,76.0,6.0,999.5,29.9,73.0,6.6,999.0,30.8,68.0,10.5,998.1,31.4,64.0,11.2,997.9,22,6,27.7
2024-09-01 23:00:00,28.0,78.0,7.9,1000.7,28.1,78.0,7.4,1000.5,28.5,76.0,7.1,999.7,28.8,76.0,6.0,999.5,29.9,73.0,6.6,999.0,30.8,68.0,10.5,998.1,23,6,27.3
